iter	Passed	Remaining
401	16691	190912
402	16722	190749
403	16743	190472
404	16792	190526
405	16837	190515
406	16858	190244
407	16910	190321
408	16946	190228
409	16985	190155
410	17032	190172
411	17065	190040
412	17116	190102
413	17193	190462
414	17279	190912
415	17353	191221
416	17401	191248
417	17455	191345
418	17482	191140
419	17530	191171
420	17567	191077
421	17611	191051
422	17700	191525
423	17747	191543
424	17774	191336
425	17824	191384
426	17868	191363
427	17914	191371
428	17959	191353
429	17989	191192
430	18043	191281
431	18112	191526
432	18162	191568
433	18218	191676
434	18260	191625
435	18299	191553
436	18337	191468
437	18366	191291
438	18401	191186
439	18442	191127
440	18475	190999
441	18507	190848
442	18546	190785
443	18582	190681
444	18597	190367
445	18673	190665
446	18720	190681
447	18766	190678
448	18788	190433
449	18835	190451
450	18878	190414
451	18917	190351
452	18961	190326
453	19008	190334
454	19038	190180
455	19045	189789
456	19100	189880
457	19139	189807
458	19180	189760
459	19216	189656
460	19224	189280
461	19242	189007
462	19268	188816
463	19298	188656
464	19303	188264
465	19322	187996
466	19363	187953
467	19393	187803
468	19438	187795
469	19450	187470
470	19498	187491
471	19541	187466
472	19578	187378
473	19615	187295
474	19621	186918
475	19731	187530
476	19773	187500
477	19841	187709
478	19873	187572
479	19909	187482
480	19934	187288
481	19980	187288
482	19986	186908
483	19998	186601
484	20046	186619
485	20051	186240
486	20092	186191
487	20142	186233
488	20197	186324
489	20236	186260
490	20251	185976
491	20298	185988
492	20350	186044
493	20404	186121
494	20456	186177
495	20480	185974
496	20496	185703
497	20539	185683
498	20577	185607
499	20623	185614
500	20688	185780
501	20732	185769
502	20756	185570
503	20795	185504
504	20817	185298
505	20839	185084
506	20856	184829
507	20905	184854
508	20950	184849
509	20967	184600
510	21015	184612
511	21060	184612
512	21120	184735
513	21168	184747
514	21215	184756
515	21221	184412
516	21256	184316
517	21294	184252
518	21342	184269
519	21381	184209
520	21426	184202
521	21438	183912
522	21460	183709
523	21485	183525
524	21523	183465
525	21545	183258
526	21592	183270
527	21615	183077
528	21638	182883
529	21712	183123
530	21755	183097
531	21761	182762
532	21782	182557
533	21819	182482
534	21866	182494
535	21909	182466
536	21939	182340
537	21962	182148
538	22008	182153
539	22047	182095
540	22069	181898
541	22113	181887
542	22159	181885
543	22201	181859
544	22238	181788
545	22285	181793
546	22306	181588
547	22355	181614
548	22387	181505
549	22426	181454
550	22470	181435
551	22509	181378
552	22563	181446
553	22604	181405
554	22649	181397
555	22706	181492
556	22753	181493
557	22758	181168
558	22803	181164
559	22842	181107
560	22888	181106
561	22930	181077
562	22965	180993
563	22978	180735
564	23022	180713
565	23064	180688
566	23113	180705
567	23152	180654
568	23183	180534
569	23223	180493
570	23266	180470
571	23310	180449
572	23348	180386
573	23391	180368
574	23429	180307
575	23466	180232
576	23502	180157
577	23528	180002
578	23567	179947
579	23588	179758
580	23626	179700
581	23632	179397
582	23673	179358
583	23701	179220
584	23706	178910
585	23736	178790
586	23772	178719
587	23817	178710
588	23862	178702
589	23904	178677
590	23941	178606
591	23986	178602
592	24004	178392
593	24042	178337
594	24081	178286
595	24101	178093
596	24141	178050
597	24192	178086
598	24220	177954
599	24267	177965
600	24311	177950
601	24343	177844
602	24380	177779
603	24424	177763
604	24470	177763
605	24513	177741
606	24551	177686
607	24596	177676
608	24635	177628
609	24680	177618
610	24716	177548
611	24757	177509
612	24789	177405
613	24827	177353
614	24858	177243
615	24897	177194
616	24941	177179
617	24980	177130
618	25028	177138
619	25087	177227
620	25126	177178
621	25169	177156
622	25217	177168
623	25260	177146
624	25283	176985
625	25322	176930
626	25367	176925
627	25412	176917
628	25460	176931
629	25504	176909
630	25511	176641
631	25551	176594
632	25599	176610
633	25643	176591
634	25697	176646
635	25754	176720
636	25815	176819
637	25857	176788
638	25876	176600
639	25909	176507
640	25949	176462
641	25996	176469
642	26039	176447
643	26078	176391
644	26126	176404
645	26170	176389
646	26206	176317
647	26236	176208
648	26278	176175
649	26314	176105
650	26363	176117
651	26407	176101
652	26448	176065
653	26494	176060
654	26537	176040
655	26602	176159
656	26650	176165
657	26679	176051
658	26702	175895
659	26746	175881
660	26788	175850
661	26817	175730
662	26834	175534
663	26875	175500
664	26889	175290
665	26905	175088
666	26950	175076
667	26993	175056
668	27045	175087
669	27112	175219
670	27160	175230
671	27198	175170
672	27248	175190
673	27305	175257
674	27359	175301
675	27397	175245
676	27436	175193
677	27483	175196
678	27512	175080
679	27528	174887
680	27613	175125
681	27657	175109
682	27701	175089
683	27722	174924
684	27756	174848
685	27794	174790
686	27837	174763
687	27883	174757
688	27926	174735
689	27946	174563
690	27951	174302
691	28000	174315
692	28047	174313
693	28093	174309
694	28144	174333
695	28182	174275
696	28227	174264
697	28265	174209
698	28311	174202
699	28354	174179
700	28393	174130
701	28430	174068
702	28461	173970
703	28509	173974
704	28555	173967
705	28634	174158
706	28672	174106
707	28718	174097
708	28754	174029
709	28788	173947
710	28835	173943
711	28881	173936
712	28926	173921
713	28946	173759
714	28989	173737
715	29035	173727
716	29071	173658
717	29077	173412
718	29083	173164
719	29114	173066
720	29162	173075
721	29194	172983
722	29217	172838
723	29264	172840
724	29299	172768
725	29336	172706
726	29381	172690
727	29431	172706
728	29452	172553
729	29498	172548
730	29545	172541
731	29559	172347
732	29652	172615
733	29704	172641
734	29737	172559
735	29783	172548
736	29837	172586
737	29886	172593
738	29924	172541
739	29953	172435
740	29976	172294
741	30007	172199
742	30053	172193
743	30120	172304
744	30159	172252
745	30194	172182
746	30215	172027
747	30265	172045
748	30288	171905
749	30327	171858
750	30357	171756
751	30402	171740
752	30432	171641
753	30469	171582
754	30513	171562
755	30557	171542
756	30599	171510
757	30677	171681
758	30714	171621
759	30759	171603
760	30805	171594
761	30851	171584
762	30893	171552
763	30925	171465
764	30962	171408
765	30990	171294
766	31030	171256
767	31060	171157
768	31093	171075
769	31132	171027
770	31181	171034
771	31229	171033
772	31273	171013
773	31319	171002
774	31355	170940
775	31394	170891
776	31436	170859
777	31482	170847
778	31517	170779
779	31562	170759
780	31591	170661
781	31598	170435
782	31660	170515
783	31716	170559
784	31753	170498
785	31797	170476
786	31835	170420
787	31879	170399
788	31922	170373
789	31960	170318
790	32006	170312
791	32052	170297
792	32083	170209
793	32123	170164
794	32174	170178
795	32231	170230
796	32238	170008
797	32276	169956
798	32321	169938
799	32347	169825
800	32387	169783
801	32420	169702
802	32434	169521
803	32467	169447
804	32517	169454
805	32522	169230
806	32565	169204
807	32577	169016
808	32591	168837
809	32624	168762
810	32697	168890
811	32732	168822
812	32778	168810
813	32816	168756
814	32860	168736
815	32905	168720
816	32951	168712
817	32996	168693
818	33042	168683
819	33081	168632
820	33122	168600
821	33152	168507
822	33176	168382
823	33219	168356
824	33264	168340
825	33298	168268
826	33337	168217
827	33384	168214
828	33406	168080
829	33422	167919
830	33462	167876
831	33510	167875
832	33548	167821
833	33592	167800
834	33640	167797
835	33728	167998
836	33765	167938
837	33810	167921
838	33856	167911
839	33900	167887
840	33938	167835
841	33976	167786
842	34005	167686
843	34036	167600
844	34073	167545
845	34097	167422
846	34140	167398
847	34179	167351
848	34193	167179
849	34286	167398
850	34377	167605
851	34430	167624
852	34509	167773
853	34529	167634
854	34574	167614
855	34611	167558
856	34658	167550
857	34732	167673
858	34783	167683
859	34839	167718
860	34884	167697
861	34950	167779
862	34964	167611
863	35013	167610
864	35060	167602
865	35105	167580
866	35151	167566
867	35190	167520
868	35196	167315
869	35226	167225
870	35276	167229
871	35313	167173
872	35360	167160
873	35404	167139
874	35448	167116
875	35494	167099
876	35533	167052
877	35562	166957
878	35601	166908
879	35647	166896
880	35692	166874
881	35759	166960
882	35802	166929
883	35850	166924
884	35889	166876
885	35938	166873
886	35986	166866
887	36033	166855
888	36080	166848
889	36117	166789
890	36148	166703
